created_at,place,text,lang
2016-10-17 21:07:55,,"b'Wildfires in the next few decades could be ""unrecognizable"" to previous generations\xe2\x80\x94because of climate change: https://t.co/vM3xM6mCf3'",en

2016-10-17 18:46:37,,"b""Senate leaders are blocking the Supreme Court nomination for their own political gain\xe2\x80\x94don't be silent: https://t.co/OMdTVim0TC #DoYourJob""",en

2016-10-17 16:32:32,,"b'RT @WhiteHouse: ""Nobody should be priced out of a higher education."" \xe2\x80\x94@POTUS on the progress we\'ve made: https://t.co/4YohVv7Qea https://t.\xe2\x80\xa6'",en

2016-10-17 15:33:28,,b'RT @WHLive: Watch as @POTUS speaks on the progress made to ensure every student has the opportunity to realize their potential: https://t.c\xe2\x80\xa6',en

2016-10-17 15:30:23,,"b""Senate leaders have recognized Judge Garland's impeccable credentials in the past. He deserves a fair hearing and a\xe2\x80\xa6 https://t.co/w9bPtpSmm7""",en

2016-10-14 21:17:59,,b'We need a fully functional Supreme Court. Editorial boards across the country agree: https://t.co/BkLrNaTtzN #DoYourJob',en

2016-10-14 19:20:14,,b'The American Bar Association gave Judge Garland its highest rating. Senate leaders: #DoYourJob and fill the #SCOTUS\xe2\x80\xa6 https://t.co/iTVTqGIUvV',en

2016-10-14 17:31:21,,b'Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: https://t.co/7MDQGYgX2u #ActOnClimate',en

2016-10-14 16:18:33,,"b'Cynics, take note: When we #ActOnClimate, we build a stronger future. https://t.co/wHHMdo2ro6'",en

2016-10-13 21:30:34,,"b'""That\xe2\x80\x99s how we will overcome the challenges we face: by unleashing the power of all of us for all of us."" Read more: https://t.co/VxpwLIR4uF'",en

2016-10-13 20:29:34,,b'Check out the most recent editorial boards calling on Senate leaders to vote on Judge Garland: https://t.co/hzuhZYevfo #DoYourJob',en

2016-10-13 18:29:08,,"b""Senate leaders have undercut the functionality of the Supreme Court, and that's unacceptable. #DoYourJob https://t.co/5HFXhgTMoP""",en

2016-10-13 16:53:40,,"b""Senate leaders' political games are handicapping the Supreme Court\xe2\x80\x94and judgeships across the country. https://t.co/PhKOBKXLmS #DoYourJob""",en

2016-10-13 15:24:26,,"b""RT @WIRED: After eight years in office, @POTUS remains optimistic about the world's future. His essay as WIRED\xe2\x80\x99s guest editor: https://t.co\xe2\x80\xa6""",en

2016-10-12 21:02:21,,b'LIVE: President Obama is speaking at a reception celebrating #HispanicHeritageMonth. https://t.co/FK0ytbKw1q',en

2016-10-12 20:54:38,,"b'RT @WhiteHouse: In honor of #HispanicHeritageMonth, we celebrate the progress that Hispanic Americans have made under @POTUS: https://t.co/\xe2\x80\xa6'",en

2016-10-12 19:43:55,,"b""Support the bold steps we're taking against climate change. Say you're ready to #ActOnClimate: https://t.co/EtwjaKgYFW""",en

2016-10-12 17:57:21,,"b'Last week, more than 190 countries reached a landmark deal to reduce carbon pollution from aviation. https://t.co/LRYkXVw3rO #ActOnClimate'",en

2016-10-12 16:35:41,,"b""Let's leave our children and grandchildren a planet that's healthier than the one we have today. #ActOnClimate https://t.co/mP29bpRdU9""",en

2016-10-12 15:25:03,,"b""Climate change's effects are devastating. Denying the science behind it does nothing to help. https://t.co/Rww40wwgD9 #ActOnClimate""",en

2016-10-11 23:59:09,,"b'""On behalf of Michelle and our family, G\xe2\x80\x99mar Chatimah Tovah."" \xe2\x80\x94President Obama #YomKippur'",en

2016-10-11 21:18:09,,"b'""LGBT individuals deserve to know their country stands beside them."" \xe2\x80\x94President Obama #NationalComingOutDay https://t.co/op7nBzbaod'",en

2016-10-11 20:02:19,,b'The Supreme Court must remain above politics. Judge Garland needs a hearing and a vote. #DoYourJob https://t.co/eVSPSIFNpB',en

2016-10-11 18:38:46,,"b""Don't stand idly by while Senate leaders continue to block Judge Garland from a fair hearing and vote: https://t.co/TSavHP3mHg #DoYourJob""",en

2016-10-11 17:26:32,,"b""Judge Garland is just as qualified now as he was in 1997, Senate leaders. It's time to #DoYourJob. https://t.co/j1lEkdMYV6""",en

2016-10-11 15:31:34,,b'Dispel misinformation with facts from the @OFA Truth Team. https://t.co/zjexLUJXAC',en

2016-10-07 22:03:05,,"b""The uninsured rate is the lowest it's been in decades, thanks to #Obamacare. Spread the word.\xe2\x80\xa6 https://t.co/ZkN8HVbn3E""",en

2016-10-07 20:38:47,,b'Deadline tonight\xe2\x80\x94help rein in payday lenders that succeed by targeting vulnerable Americans: https://t.co/7OlpH6OFek #StopTheDebtTrap',en

2016-10-07 19:54:20,,b'The Obama administration and @CFPB are working to protect consumers and #StopTheDebtTrap. https://t.co/UMO01OUkdh',en

2016-10-07 18:02:16,,"b'Our economy is on a better, stronger course. https://t.co/yzB6x7CExJ'",en

2016-10-07 16:16:59,,"b""The economic progress we've made is undeniable\xe2\x80\x94let's keep it up. https://t.co/gAlfaC1hkI""",en

2016-10-07 15:14:16,,"b""Check out President Obama's essay in @TheEconomist on the unique challenges the American economy faces. https://t.co/jKJNCrQALL""",en

2016-10-07 13:59:22,,"b'The economy added 156,000 jobs in September\xe2\x80\x94extending the longest streak of total job growth on record.'",en

2016-10-06 18:35:27,,b'ICYMI: Read about the historic #ParisAgreement and what it means for the fight to #ActOnClimate. https://t.co/eMefgFZk53',en

2016-10-06 17:22:46,,"b'RT @WhiteHouse: This is #SXSL: The White House festival of ideas, art, and action. Take a peek inside: https://t.co/BbvvMEaQTF https://t.co\xe2\x80\xa6'",en

