created_at,Place,text,lang
2018-03-14 10:27:40,,"b""'You could ask my dad any question.'\n\nIn memory of Stephen Hawking, here's an earlier interview with his daughter L\xe2\x80\xa6 https://t.co/6OQlwLfg2d""",en
2018-03-14 10:01:19,,b'RT @BBCArchive: Stephen Hawking first appeared on the BBC in the 1977 documentary The Key to the Universe: The Search for the Laws of Creat\xe2\x80\xa6',en
2018-03-14 09:00:05,,"b""'I was homeless on these streets - I'm the perfect tour guide.' https://t.co/jxirkZzebu""",en
2018-03-14 08:35:41,,"b'Despite 8 million tonnes of plastic entering UK oceans each year, researchers can only account for where 1% of it e\xe2\x80\xa6 https://t.co/qHNjcKK9Ap'",en
2018-03-14 07:07:28,,b'Stephen Hawking had once written that he had motor neurone disease for practically all his adult life but said that\xe2\x80\xa6 https://t.co/6oyYB57iE6',en
2018-03-14 07:03:36,,b'RT @BBCr4today: This morning: World renowned physicist Stephen Hawking has died at the age of 76. Here he is reading an extract from his 19\xe2\x80\xa6',en
2018-03-14 06:28:18,,"b'RT @BBCWorld: A brilliant mind,\n\nwicked sense of humor\n\nand a heart big enough to hold the universe. \xe2\xad\x90\xf0\x9f\x9a\x80\n\nRest among the stars, Stephen Hawk\xe2\x80\xa6'",en
2018-03-14 06:21:50,,b'\xf0\x9f\x92\x94 World renowned physicist Stephen Hawking has died at the age of 76.\nhttps://t.co/WxYeUddUJB https://t.co/Sbl0zn1Dma',en
2018-03-13 20:00:05,,b'Wakanda has Black Panther. \n\n Senegal has Sandale-man. https://t.co/T9JnB3pNeq',in
2018-03-13 19:00:05,,b'\xe2\x9a\x94 Charis is 19 years old and makes SWORDS for a living! https://t.co/kUUiAjIwNu',en
2018-03-13 18:30:05,,"b'Microplastics are littering riverbeds across the UK, with hundreds of thousands of plastic particles per square met\xe2\x80\xa6 https://t.co/cGhDdnQrTm'",en
2018-03-13 17:30:06,,"b""\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x83\xf0\x9f\x8f\xbb Ballet is STILL the love of Joyce's life at 98-years-old! https://t.co/nzr3Jy1wbS""",en
2018-03-13 17:16:46,,"b'RT @bbcthree: ""No one needs airbags because you\'ve got two"" \n\n.... and others things not to say to people who\'ve had cosmetic procedures ht\xe2\x80\xa6'",en
2018-03-13 17:13:13,,"b""RT @BBCR1: Now we have a trailer for #FantasticBeasts: The Crimes of Grindelwald, please can we take a moment to discuss Eddie Redmanyne's\xe2\x80\xa6""",en
2018-03-13 17:02:28,,"b""RT @bbcwritersroom: #Networking, a necessary evil - and why you've got to learn to embrace it! \n\nCheck out @PhilipShelley1's latest blog fo\xe2\x80\xa6""",en
2018-03-13 14:00:22,,"b'From making serious science genuinely popular to his sense of humour, here are seven reasons we \xe2\x9d\xa4\xef\xb8\x8f Stephen Hawking.\xe2\x80\xa6 https://t.co/zWNEpoOttE'",en
2018-03-13 13:00:08,,b'\xf0\x9f\x8e\xa8 This scheme to recycle unused paint has saved hundreds of tons of leftovers from ending up in landfill. https://t.co/Y6oau3hK0s',en
2018-03-13 12:26:59,,"b""\xf0\x9f\x99\x85\xf0\x9f\x92\x8c Fans of #KPop boyband #BigBang have been asked to stop sending fan mail to @IBGDRGN at the army base where he's\xe2\x80\xa6 https://t.co/Swh0KwypL7""",en
2018-03-13 12:03:24,,"b'RT @bbcouch: During the Winter Olympics people across Britain were swept away by curling. And Aileen Neilson, captain of @ParalympicsGB\xe2\x80\x99s c\xe2\x80\xa6'",en
2018-03-13 12:00:09,,"b""Shakespeare's plays are famous around the world, yet much about the playwright is still a mystery. \n\nHere's what we\xe2\x80\xa6 https://t.co/McqCcs3mMj""",en
2018-03-13 11:28:09,,"b'RT @bbcthree: ""Underwater you feel nothing. You\'re at peace with yourself.""  #perfectday2018 https://t.co/zHpEQSzk4H'",en
